p,k,mean,var,err_x,err_var
0.1,2,0.09,0.000819,0.10000000000000009,0.09000000000000014
0.1,3,0.097,0.00008759100000000001,0.030000000000000027,0.02676666666666663
0.1,4,0.1021,0.000009167559,0.020999999999999908,0.0186176666666666
0.1,5,0.10118,0.0000009094260760000001,0.011800000000000005,0.010473417777777784
0.1,6,0.099782,0.00000008982555247599999,0.0021800000000000985,0.0019383058222224912
0.1,7,0.0999457,0.000000008995655705151,0.0005430000000000712,0.0004826994276667643
0.5,2,0.52,0.002496,0.040000000000000036,0.0016000000000000389
0.5,3,0.497,0.00024999099999999997,0.006000000000000005,0.00003600000000013315
0.5,4,0.4967,0.000024998911,0.00660000000000005,0.000043560000000092804
0.5,5,0.49725,0.000002499924375,0.005499999999999949,0.000030250000000083267
0.5,6,0.499843,0.000000249999975351,0.00031400000000003647,0.00000009859600005399506
0.5,7,0.5000829,0.000000024999999312759003,0.00016579999999999373,0.000000027489639828019973
0.9,2,0.88,0.0010560000000000003,0.02222222222222224,0.17333333333333384
0.9,3,0.883,0.00010331100000000004,0.018888888888888906,0.14790000000000073
0.9,4,0.8964,0.000009286704000000001,0.004000000000000053,0.031856000000000315
0.9,5,0.90055,0.0000008955969750000003,0.0006111111111110438,0.004892249999999502
0.9,6,0.900047,0.00000008996239779100002,0.000052222222222243607,0.00041780232222187683
0.9,7,0.9000389,0.000000008996887848679003,0.000043222222222169845,0.00034579459122160874
